blocknumber,timestamp,poolid,tokenin,tokenout,amountin,amountout
15385253,1661103118,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,498891070,3519756007689363611295
15386337,1661117319,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,868153847,6070702461046841840203
15390639,1661176924,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7140553093182245535500,1000000000
15390977,1661181215,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1236220370351895101440,171802190
15391557,1661188540,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,364534443122873836502,50586588
15393297,1661212726,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,681834323,4795973976765112052205
15395500,1661243118,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,538829738,3760034516855409409946
15395748,1661246842,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,164735341299413245952,23215746
15397042,1661263860,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,578326220,4007777121269764256651
15397244,1661266298,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,122345784261639812839,17366581
15400335,1661308780,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,164417492681080336384,23332382
15403455,1661351529,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4348443325539408897315,614568148
15403492,1661352070,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4227040457043725619200,592711695
15403877,1661357624,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,25579560486817494691905,3490495944
15403877,1661357624,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,1113419797,8126370493593992756458
15407599,1661409648,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,454416606,3281589907586488762256
15409669,1661438541,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,25328231712313148059536,3369841756
15409670,1661438553,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,782735462,5869545539582647872938
15409954,1661442308,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,99819493347811994140672,11732426363
15409955,1661442311,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,4630914040,41329249263040355088983
15409972,1661442546,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,13702614550326149821890,1553379154
15409983,1661442729,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,27228043399917493472650,2948721072
15410041,1661443491,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,99460373141046901463707,9391147732
15410042,1661443541,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,2886098529,32272386734238150404192
15410053,1661443693,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,27027203007223228593881,2384184125
15410066,1661443839,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,213507470922218841292669,14794331720
15410067,1661443845,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,4822512837,78729939001867677585306
15410202,1661445571,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,2553395025,36904842966007804671255
15410509,1661450135,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,979593196,13377402850799013188358
15413543,1661492002,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5709132879746533291738,413418279
15413876,1661496337,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,571964610,7723457241873694847178
15413903,1661496643,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,667790146,8848516241093999706788
15413904,1661496688,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7738330440642139662517,573244726
15413926,1661497049,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,665761285,8797298832426026245151
15413953,1661497391,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,573796141,7442209822197351592908
15413956,1661497419,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,8617066613886155628473,650441232
15414009,1661497966,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,801779414,10388927697834099741327
15414010,1661497977,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7359610480170691700252,558754944
15414066,1661498783,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,1000000000,12828033814296312683442
15414072,1661498876,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5592511999269527785191,430944637
15414080,1661498926,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,1000000000,12616353688117925743621
15414083,1661498961,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5609356104574572517526,439390911
15414109,1661499322,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,1000000000,12413919607404311526383
15414111,1661499352,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5706020829822586802383,454106629
15414585,1661506328,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5223260187318318200000,410538410
15416484,1661532314,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,7866522695806443392603,609169689
15418300,1661557327,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,8551358555100735703763,650000022
15420406,1661587450,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,542000000,7000618000966151322473
15420488,1661588542,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3860836836247085695186,294062882
15421038,1661595913,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1700258754306500470196,128688468
15422724,1661618647,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5099532902427530771750,383024634
